pos_x, pos_y, pos_z
-0.296241, -0.194582, 0.833681
-0.086827, -0.059817, 0.369264
-0.261945, -0.156288, 1.007472
-0.098043, -0.069861, 0.393650
-0.256108, -0.148116, 0.992973
-0.188763, -0.110390, 0.642774
-0.200898, -0.125585, 0.753253
-0.203302, -0.153530, 0.827832
-0.157980, -0.014782, 0.443459
-0.123908, -0.021362, 0.333649
-0.091453, -0.015456, 0.239187
-0.225123, -0.074797, 0.638376
-0.183377, -0.200246, 0.721067
-0.090383, -0.107689, 0.395747
-0.103907, -0.136398, 0.472401
-0.240661, -0.279977, 1.093078
-0.258830, 0.035850, 0.544958
-0.711874, 0.046239, 0.837767
-0.306693, 0.033404, 0.372101
-0.311859, 0.031235, 0.480279
-0.158646, 0.034740, 0.192951
-0.044790, 0.020179, 0.373457
0.123010, -0.093286, 0.528793
0.123028, -0.105917, 0.501563
0.120562, -0.102035, 0.426943
0.119988, -0.101739, 0.515815
0.173417, -0.130247, 0.655740
0.156881, -0.062624, 0.404004
0.082491, -0.072113, 0.552150
0.095582, -0.086784, 0.676759
0.073896, -0.086527, 0.623458
0.088845, -0.070388, 0.539993
0.122490, -0.159553, 0.671762
0.133504, -0.166599, 0.788454
0.098120, -0.114416, 0.540150
0.111981, -0.116410, 0.550725
0.119881, -0.136375, 0.466213
0.167163, -0.105322, 0.420795
0.150423, -0.096194, 0.399061
0.052730, -0.165797, 0.448521
0.055926, -0.228815, 0.490739
0.056002, -0.168793, 0.482997
0.054677, -0.145605, 0.481045
0.087906, -0.141855, 0.507571
0.074019, -0.136664, 0.473626
0.074133, -0.134280, 0.484063
0.089604, -0.152561, 0.498274
0.070980, -0.150364, 0.494880
0.159034, -0.030813, 0.205209
0.148722, -0.028958, 0.214655
0.155801, -0.046165, 0.306054
0.181125, -0.070688, 0.404637
0.152871, -0.044195, 0.311517
0.197208, -0.061005, 0.408128
0.214577, -0.103382, 0.421581
0.223227, -0.101656, 0.418211
0.221402, -0.098038, 0.420630
0.194605, -0.100116, 0.414054
0.128116, -0.029986, 0.227240
0.198478, -0.006174, 0.306667
0.168014, -0.034798, 0.295902
0.210522, -0.112139, 0.422740
0.226736, -0.112755, 0.421214
0.198004, -0.112730, 0.429672
0.207906, -0.102926, 0.420397
0.196955, -0.104014, 0.414187
0.252735, -0.120762, 0.434259
0.235363, -0.113576, 0.424120
0.240264, -0.111156, 0.423275
0.254051, -0.112529, 0.423329
0.051640, 0.031841, 0.131114
0.186841, 0.013153, 0.272655
0.166842, 0.007927, 0.230609
